,ts_code,trade_date,close,open,high,low,change,vol,amount
9,002190.SZ,20180731,19.34,17.1,20.19,16.02,2.25,89824747.0,1651103694.75
10,002190.SZ,20180629,17.09,20.55,21.5,15.5,-3.45,62678068.0,1177229423.23
11,002190.SZ,20180531,20.54,21.13,24.83,20.3,-0.9,105379605.0,2387678781.55
12,002190.SZ,20180427,21.44,23.49,26.0,21.11,-2.51,132684874.0,3177050166.29
13,002190.SZ,20180330,23.95,21.7,25.9,20.64,2.06,195978608.0,4567454720.97
14,002190.SZ,20180228,21.89,23.44,23.77,18.88,-1.61,130911488.0,2823009874.94
15,002190.SZ,20180131,23.5,21.62,25.5,18.18,1.86,107791607.0,2349754299.54
0,600760.SH,20190430,30.7,33.0,34.68,30.01,-2.06,181361345.0,5994307095.0
1,600760.SH,20190329,32.76,33.8,35.04,31.73,-0.93,239069085.0,7929414082.0
2,600760.SH,20190228,33.69,29.59,34.67,29.43,4.21,138938391.0,4554503555.0
3,600760.SH,20190131,29.48,27.68,31.6,27.45,1.77,108983059.0,3303206523.0
4,600760.SH,20181228,27.71,33.08,33.53,26.86,-4.7,116417270.0,3546389002.0
5,600760.SH,20181130,32.41,33.7,35.54,31.4,-0.98,118585893.0,4020302413.0
6,600760.SH,20181031,33.39,37.61,38.5,31.3,-4.71,122911028.0,4259994322.0
7,600760.SH,20180928,38.1,36.0,39.32,35.5,2.12,156100197.0,5923679884.0
8,600760.SH,20180831,35.98,38.19,38.95,32.61,-2.04,165566475.0,5878424235.0
9,600760.SH,20180731,38.02,36.19,41.6,35.7,1.98,230926254.0,8896790470.0
10,600760.SH,20180629,36.04,33.93,38.5,32.52,2.11,184397570.0,6553275644.0
11,600760.SH,20180531,33.93,37.99,39.04,32.33,-4.67,230900616.0,8433721058.0
12,600760.SH,20180427,38.6,34.9,41.75,34.51,4.12,363137677.0,13663918316.0
13,600760.SH,20180330,34.48,28.92,35.03,28.2,5.23,317703964.0,9995876402.0
14,600760.SH,20180228,29.25,29.83,30.85,22.51,-0.46,224220302.0,5920955567.0
15,600760.SH,20180131,29.71,35.27,39.88,28.81,-5.18,416935045.0,14078589763.0
